SK_ID_CURR,TARGET
100001,0
100005,1
100013,0
100028,1
100038,1
100042,0
100057,0
100065,0
100066,0
100067,0
100074,0
100090,1
100091,1
100092,1
100106,1
100107,0
100109,1
100117,0
100128,0
100141,0
100150,0
100168,0
100169,0
100170,0
100171,1
100172,1
100184,1
100187,0
100212,0
100222,0
100223,0
100232,0
100241,1
100245,0
100253,0
100256,1
100271,0
100278,1
100280,0
100306,1
100311,1
100312,0
100330,1
100331,0
100352,0
100358,1
100367,1
100382,0
100384,0
100385,1
100386,0
100399,0
100404,0
100416,0
100422,1
100426,1
100438,0
100444,1
100445,1
100446,0
100447,0
100450,0
100466,1
100483,0
100484,0
100494,0
100510,1
100512,0
100517,0
100548,0
100551,0
100552,1
100553,0
100561,1
100568,1
100569,0
100591,0
100592,0
100602,1
100607,0
100613,0
100617,0
100618,0
100622,1
100625,1
100677,0
100699,0
100702,1
100711,0
100729,1
100740,1
100744,1
100745,1
100747,0
100751,1
100752,0
100753,1
100754,1
100760,1
100762,1
100763,1
100765,1
100770,1
100772,0
100777,0
100791,0
100792,1
100797,1
100823,0
100826,1
100830,0
100836,1
100872,0
100910,1
100913,0
100918,1
100931,0
100952,1
100953,0
100965,0
100970,0
100982,1
100983,0
100984,1
100987,1
100997,0
100998,1
101002,0
101005,1
101008,1
101020,1
101021,1
101024,0
101025,1
101026,0
101031,0
101041,0
101051,0
101055,1
101056,1
101057,0
101064,0
101079,1
101087,0
101090,0
101092,0
101097,1
101099,0
101107,1
101118,1
101125,0
101126,0
101128,1
101136,1
101140,0
101149,1
101160,0
101169,1
101181,0
101186,0
101190,1
101193,1
101194,1
101198,1
101200,0
101204,1
101211,0
101213,0
101223,1
101225,1
101237,0
101243,1
101244,1
101258,0
101259,1
101268,1
101269,0
101271,1
101279,0
101281,1
101287,0
101292,0
101294,1
101296,0
101297,0
101299,0
101301,0
101305,0
101308,0
101318,0
101327,1
101329,1
101332,0
101337,0
101343,0
101345,0
101346,0
101353,0
101354,1
101355,1
101356,0
101362,1
101363,1
101365,0
101366,0
101367,1
101368,0
101374,1
101380,0
101383,0
101398,0
101399,1
101401,1
101412,1
101426,1
101427,1
101428,1
101429,1
101434,0
101440,1
101448,1
101449,1
101465,0
101467,1
101472,1
101478,1
101497,1
101504,0
101547,0
101548,0
101555,0
101570,1
101572,1
101578,0
101580,0
101588,1
101602,0
101610,1
101614,1
101616,1
101643,0
101644,1
101649,1
101650,1
101665,0
101667,1
101669,0
101674,1
101675,0
101678,1
101682,0
101686,1
101697,1
101700,1
101711,0
101714,0
101715,1
101728,0
101732,0
101757,0
101758,1
101759,1
101762,0
101764,0
101780,1
101784,1
101789,0
101816,0
101819,0
101827,0
101863,0
101867,1
101870,0
101873,0
101878,0
101879,0
101880,0
101887,1
101897,0
101901,1
101903,1
101920,1
101921,1
101922,0
101961,1
101962,0
101971,0
101976,1
102002,1
102005,0
102007,1
102017,0
102019,1
102029,0
102051,1
102052,0
102054,0
102062,0
102067,1
102068,0
102070,0
102090,1
102092,1
102099,1
102100,0
102112,1
102113,0
102122,1
102123,1
102125,0
102126,1
102146,0
102147,1
102151,1
102158,0
102159,1
102162,0
102165,1
102166,0
102174,0
102193,1
102198,0
102205,0
102206,1
102218,0
102221,1
102230,1
102238,1
102248,0
102252,1
102259,0
102262,1
102273,0
102286,1
102293,0
102294,0
102296,0
102298,1
102303,0
102309,1
102315,0
102340,0
102342,1
102344,0
102346,1
102347,0
102374,1
102380,0
102387,1
102393,1
102403,0
102413,1
102414,0
102415,1
102416,0
102439,1
102441,1
102443,0
102444,0
102445,1
102448,0
102449,1
102450,1
102456,1
102458,0
102459,0
102465,0
102470,1
102471,0
102475,1
102476,1
102506,1
102509,0
102519,0
102522,0
102545,0
102549,1
102562,0
102563,1
102568,1
102582,0
102592,0
102597,1
102605,1
102614,1
102617,0
102634,1
102652,0
102655,0
102671,0
102694,1
102701,1
102703,0
102704,0
102713,0
102720,1
102731,0
102733,0
102749,1
102755,0
102763,0
102770,1
102772,1
102799,1
102838,0
102854,0
102862,1
102863,0
102867,1
102868,0
102878,0
102887,1
102898,1
102904,1
102912,0
102919,0
102927,1
102932,0
102933,1
102935,0
102958,0
102969,1
102971,0
102975,0
102979,1
102982,0
102987,1
102989,1
102995,0
102996,0
103000,0
103001,1
103004,0
103010,0
103025,0
103029,1
103046,0
103056,0
103062,1
103078,0
103083,0
103092,1
103096,1
103097,1
103102,1
103112,1
103132,0
103144,1
103145,0
103146,0
103147,1
103158,0
103171,1
103173,0
103184,0
103195,1
103196,0
103206,1
103230,0
103231,1
103232,0
103239,1
103240,1
103243,1
103252,0
103258,1
103259,1
103279,0
103280,0
103286,0
103287,1
103290,0
103298,1
103315,0
103319,1
103334,1
103336,0
103345,0
103368,1
103371,1
103377,0
103398,1
103404,0
103408,1
103410,0
103418,0
103420,1
103432,1
103433,0
103436,0
103440,1
103453,0
103459,1
103460,0
103461,0
103462,1
103473,0
103474,0
103475,1
103478,1
103480,0
103484,0
103494,0
103513,1
103515,1
103516,1
103525,0
103541,1
103544,1
103562,1
103570,1
103572,1
103574,0
103575,0
103591,1
103594,0
103609,0
103613,0
103614,0
103615,0
103624,1
103625,1
103628,1
103629,0
103647,0
103648,1
103651,1
103658,0
103668,0
103669,1
103676,1
103682,0
103683,0
103689,0
103725,0
103733,1
103744,0
103762,1
103771,1
103773,0
103783,1
103784,0
103808,0
103812,0
103813,0
103814,0
103818,1
103824,1
103828,0
103830,1
103840,1
103842,1
103847,1
103848,1
103851,0
103854,1
103857,1
103861,0
103862,1
103865,0
103870,0
103876,1
103891,1
103908,1
103914,1
103918,1
103940,0
103963,1
103966,0
103971,0
103980,1
103984,0
103985,1
103998,1
104019,0
104026,1
104035,1
104044,0
104045,1
104047,1
104051,0
104058,0
104063,0
104066,0
104087,0
104089,1
104095,0
104098,1
104104,0
104110,1
104120,0
104122,0
104131,1
104132,1
104135,0
104136,1
104149,1
104150,0
104156,0
104165,1
104175,0
104179,1
104184,0
104206,0
104216,0
104230,1
104257,0
104272,0
104273,1
104278,0
104294,1
104295,0
104297,0
104298,1
104308,1
104318,1
104319,0
104320,1
104327,1
104334,1
104344,1
104350,0
104351,1
104354,0
104369,1
104376,1
104381,0
104384,1
104391,0
104394,1
104398,1
104402,0
104408,0
104409,0
104410,1
104412,1
104417,0
104424,0
104426,0
104435,0
104445,0
104458,0
104460,1
104466,1
104472,1
104473,0
104479,0
104480,0
104482,1
104499,0
104501,0
104502,1
104506,0
104510,0
104512,0
104520,1
104528,1
104529,0
104541,0
104578,0
104584,0
104588,0
104602,1
104610,0
104611,1
104618,1
104620,1
104622,0
104624,0
104625,0
104634,1
104639,1
104646,0
104647,0
104652,0
104670,1
104677,0
104685,0
104691,0
104696,0
104699,0
104712,1
104714,0
104717,0
104718,0
104740,1
104741,1
104743,0
104744,1
104747,0
104767,1
104772,1
104776,1
104779,0
104814,1
104815,1
104830,1
104831,1
104833,1
104839,0
104840,1
104860,1
104861,0
104866,1
104870,0
104877,0
104878,0
104879,0
104880,0
104899,1
104906,0
104907,1
104913,1
104916,1
104921,1
104930,0
104931,1
104936,0
104937,1
104942,0
104943,0
104969,1
104972,1
104988,1
105013,0
105015,1
105019,0
105027,1
105030,0
105035,1
105041,0
105051,1
105056,0
105067,1
105071,1
105072,0
105074,1
105091,0
105101,0
105103,0
105134,0
105139,0
105142,1
105146,1
105163,0
105168,1
105172,0
105176,1
105195,0
105196,1
105197,0
105203,1
105223,1
105227,1
105228,0
105230,1
105231,1
105239,0
105242,1
105244,0
105245,1
105248,0
105249,0
105266,1
105271,1
105276,0
105282,1
105292,0
105297,0
105332,1
105333,0
105343,0
105344,0
105345,1
105357,1
105359,1
105366,0
105367,0
105370,0
105377,0
105390,0
105399,0
105403,0
105404,0
105414,1
105417,1
105425,1
105452,0
105454,0
105456,1
105470,0
105471,0
105483,0
105493,1
105508,1
105514,0
105515,0
105528,1
105529,0
105531,0
105532,0
105558,0
105574,1
105578,0
105584,1
105595,1
105617,0
105618,0
105621,0
105625,0
105629,0
105630,0
105634,0
105635,1
105641,1
105647,0
105648,0
105655,0
105657,0
105672,0
105678,0
105682,0
105691,0
105692,0
105706,0
105712,1
105720,0
105734,0
105735,0
105736,0
105737,0
105738,1
105740,1
105744,0
105747,1
105749,1
105754,1
105758,0
105760,1
105767,0
105784,0
105791,0
105802,0
105807,1
105809,0
105816,1
105817,0
105824,1
